Date,Open,High,Low,Close,Volume,Turnover
2015-01-01,11214.8,11235.75,11166.35,11215.7,4246150,3575100000.0
2015-01-02,11214.65,11399.1,11214.65,11372.1,10004862,9645600000.0
2015-01-05,11369.35,11433.75,11186.95,11248.55,8858018,10590000000.0
2015-01-06,11186.1,11186.1,10909.0,10959.9,12515739,13645000000.0
2015-01-07,11013.2,11042.35,10889.55,10916.0,10976356,12034400000.0
2015-01-08,11031.15,11058.15,10915.05,11018.15,12975117,14856300000.000002
2015-01-09,11058.05,11484.9,10932.2,11399.65,24812224,35364200000.0
2015-01-12,11456.0,11565.85,11378.8,11543.65,16505074,17123100000.0
2015-01-13,11545.25,11546.6,11437.95,11502.8,12511358,14175100000.0
2015-01-14,11561.95,11631.55,11521.0,11614.3,12544558,14385300000.0
2015-01-15,11672.3,11774.5,11575.1,11669.85,13882213,17645600000.0
2015-01-16,11708.85,11708.85,11582.85,11659.6,12368107,17146900000.0
2015-01-19,11732.5,11797.6,11629.05,11642.75,13696381,11837500000.0
2015-01-20,11681.8,11721.9,11635.7,11695.0,11021415,12347300000.0
2015-01-21,11732.45,11838.3,11659.7,11813.7,18679282,19730700000.0
2015-01-22,11832.55,11884.5,11782.95,11850.85,15715515,16556700000.0
2015-01-23,11877.9,11921.0,11767.4,11885.15,30034833,20012100000.0
2015-01-27,11915.6,11917.25,11679.55,11693.45,17005337,18668400000.0
2015-01-28,11712.55,11821.8,11693.8,11809.55,16876897,19375900000.0
2015-01-29,11812.35,11861.5,11728.75,11824.15,15520902,21607900000.0
2015-01-30,11998.35,12003.35,11799.35,11824.75,18559078,29059500000.0
2015-02-02,11871.35,11972.6,11847.8,11943.95,17272113,23040500000.0
2015-02-03,11963.75,12000.65,11849.0,11963.9,21053605,17705900000.0
2015-02-04,12027.1,12027.1,11902.35,11938.9,14453955,12905700000.0
2015-02-05,11967.75,12295.35,11963.8,12165.15,15826989,21240100000.000004
2015-02-06,12190.7,12380.45,12186.95,12267.95,11167848,13259900000.0
2015-02-09,12160.9,12285.45,12160.9,12249.3,10996415,12210100000.0
2015-02-10,12215.2,12297.75,12129.65,12162.85,17687306,18518700000.0
2015-02-11,12198.45,12265.7,12149.35,12243.4,12905131,13637000000.0
2015-02-12,12277.2,12397.0,12253.05,12372.0,16012381,15159500000.0
2015-02-13,12369.6,12506.7,12353.25,12464.95,12674963,15273500000.0
2015-02-16,12461.75,12541.05,12457.65,12487.2,14443816,15718500000.0
2015-02-18,12511.05,12647.7,12442.7,12632.75,20825161,20474000000.0
2015-02-19,12629.05,12737.1,12628.75,12723.8,15057455,16950000000.0
2015-02-20,12750.0,12750.0,12550.75,12571.95,11383919,12248400000.0
2015-02-23,12607.35,12709.9,12475.9,12531.3,19847310,13766099999.999998
2015-02-24,12572.25,12644.1,12514.65,12566.2,14110110,14173599999.999998
2015-02-25,12621.55,12719.9,12600.05,12633.35,13377354,12720800000.0
2015-02-26,12623.8,12633.15,12429.5,12458.5,23693036,17881900000.0
2015-02-27,12511.25,12578.1,12434.65,12554.95,39838312,20933600000.0
2015-02-28,12612.05,12700.05,12493.95,12659.8,29800058,11718200000.0
2015-03-02,12700.6,12719.05,12586.15,12663.7,15906080,15320800000.0
2015-03-03,12687.25,12871.15,12635.5,12855.9,20847787,19713500000.0
2015-03-04,12885.75,12908.1,12630.55,12730.6,15783902,18764800000.0
2015-03-05,12719.1,12832.3,12615.45,12665.5,12712799,15151900000.0
2015-03-09,12599.8,12599.8,12372.45,12422.25,15075030,19056600000.0
2015-03-10,12404.35,12462.8,12307.1,12405.05,15020359,17451800000.0
2015-03-11,12414.7,12585.55,12298.5,12352.35,18633646,21949500000.0
2015-03-12,12377.2,12442.4,12329.25,12423.65,12590586,16407300000.0
2015-03-13,12478.55,12478.55,12248.45,12312.15,17452417,16123300000.0
2015-03-16,12308.95,12477.45,12297.2,12419.05,14394029,17381200000.0
2015-03-17,12459.6,12498.85,12300.85,12383.15,15605123,18245900000.0
2015-03-18,12434.25,12448.45,12256.55,12276.1,18361292,29391500000.0
2015-03-19,12298.25,12356.65,12253.1,12275.2,22006335,21624200000.0
2015-03-20,12306.6,12392.85,12274.35,12363.5,22332970,18174100000.0
2015-03-23,12364.3,12443.25,12217.75,12244.45,15526314,12994100000.0
2015-03-24,12266.2,12345.05,12154.45,12180.0,18635698,15838699999.999998
2015-03-25,12214.55,12256.4,12135.5,12225.6,20385357,16186199999.999998
2015-03-26,12168.3,12204.45,11865.85,11902.1,24114701,22855200000.0
2015-03-27,11978.05,12146.9,11926.95,11968.5,25148358,20229400000.0
2015-03-30,12010.65,12127.6,11971.4,12100.85,19114043,15454100000.0
2015-03-31,12159.05,12206.8,12005.2,12083.0,20925080,15756000000.0
2015-04-01,11997.45,12008.55,11880.15,11952.2,22785639,18084900000.0
2015-04-06,11970.2,11997.3,11872.65,11969.25,22313207,17913900000.0
2015-04-07,11999.25,12062.25,11881.5,11989.35,18185399,15514500000.0
2015-04-08,12072.2,12249.1,12060.25,12214.3,22589842,18275900000.0
2015-04-09,12296.75,12323.7,12171.15,12279.4,16386979,16145200000.0
2015-04-10,12249.05,12335.75,12244.2,12294.75,16529907,12912900000.0
2015-04-13,12329.1,12349.45,12222.9,12333.8,16440526,10387200000.0
2015-04-15,12335.15,12369.4,12121.55,12154.55,20643272,15146000000.0
2015-04-16,12187.55,12198.05,11947.05,12059.0,29861650,18371100000.0
2015-04-17,11972.35,11972.35,11758.75,11803.05,25776375,23086300000.0
2015-04-20,11805.5,11815.7,11538.85,11562.2,19374740,17858400000.0
2015-04-21,11472.6,11602.8,11415.0,11558.4,28704508,21551600000.0
2015-04-22,11552.5,11552.5,11345.1,11492.0,29316560,24753900000.0
2015-04-23,11571.05,11572.05,11410.4,11451.55,22676328,21469400000.0
2015-04-24,11474.4,11523.0,11077.3,11132.25,33250761,36851600000.0
2015-04-27,11166.4,11170.5,10941.75,11097.9,25778777,21486400000.0
2015-04-28,11097.2,11097.2,10979.2,11052.95,21748906,18302400000.0
2015-04-29,11039.0,11150.55,10954.0,11094.4,21642220,15436300000.000002
2015-04-30,11056.5,11056.5,10916.65,11001.05,44619697,24742500000.0
2015-05-04,11087.5,11217.2,11044.25,11191.45,24105159,15830300000.0
2015-05-05,11252.3,11264.35,11115.5,11170.25,23245719,16649400000.0
2015-05-06,11186.35,11191.7,10921.75,10938.85,21427168,17943900000.0
2015-05-07,10934.8,11172.15,10900.9,11127.75,20232917,14444000000.0
2015-05-08,11209.15,11268.6,11134.2,11172.05,14833619,12406300000.000002
2015-05-11,11225.15,11351.05,11184.65,11324.55,16210415,13733300000.0
2015-05-12,11337.7,11337.7,11101.25,11118.45,15553985,13224400000.0
2015-05-13,11168.7,11225.55,11040.55,11170.5,15567676,12594800000.0
